Number;Type;X;Y;Z
1;3;0.201729;0.259384;-0.079436
1;3;0.160915;0.557519;-0.339134
1;3;0.356765;0.236845;0.034034
1;3;0.845026;0.568590;0.074630
1;3;0.628226;0.432090;0.048107
1;3;0.653943;0.767514;-0.199834
1;3;0.690082;0.378197;0.128695
1;3;0.998779;0.478977;0.240064
1;3;0.447123;0.649863;-0.235018
1;3;0.114055;0.233101;-0.112907
1;3;0.854620;0.098125;0.450591
1;3;0.297713;0.597970;-0.286470
1;3;0.685349;0.099816;0.344728
1;3;0.149493;0.390617;-0.214914
1;3;0.264902;0.363373;-0.122214
1;3;0.701720;0.761252;-0.165404
1;3;0.169686;0.451955;-0.250689
1;3;0.923238;0.564999;0.125754
1;3;0.709776;0.333239;0.176218
1;3;0.528184;0.594974;-0.141788
1;3;0.275205;0.002629;0.167884
1;3;0.938185;0.027287;0.557913
1;3;0.519313;0.173693;0.184086
1;3;0.288569;0.092826;0.105195
1;3;0.947262;0.596791;0.115585
1;3;0.511410;0.346538;0.043257
1;3;0.989884;0.400447;0.296337
1;3;0.042726;0.159707;-0.099230
1;3;0.503320;0.634764;-0.188438
1;3;0.529676;0.655171;-0.188213
1;3;0.667780;0.078830;0.350384
1;3;0.171066;0.642634;-0.399811
1;3;0.810875;0.871304;-0.184555
1;3;0.508675;0.149740;0.196356
1;3;0.627327;0.883517;-0.307510
1;3;0.663719;0.756720;-0.185306
1;3;0.877448;0.033767;0.515308
1;3;0.214888;0.044410;0.097773
1;3;0.808369;0.182650;0.355546
1;3;0.062087;0.367168;-0.250448
1;3;0.472262;0.650247;-0.219796
1;3;0.062476;0.261722;-0.167271
1;3;0.543945;0.003289;0.333325
1;3;0.911932;0.233587;0.379439
1;3;0.497691;0.504225;-0.089241
1;3;0.252278;0.644608;-0.351211
1;3;0.068172;0.398242;-0.271131
1;3;0.880252;0.748807;-0.045362
1;3;0.909285;0.258814;0.357962
1;3;0.943286;0.869192;-0.101123
1;3;0.189387;0.189953;-0.032448
1;3;0.986083;0.977711;-0.160047
1;3;0.727736;0.897857;-0.256782
1;3;0.760518;0.891438;-0.231488
1;3;0.645192;0.998667;-0.387047
1;3;0.519349;0.210320;0.155300
1;3;0.359560;0.470879;-0.148316
1;3;0.306416;0.395442;-0.121802
1;3;0.495456;0.924508;-0.421188
1;3;0.831780;0.142026;0.401957
1;3;0.118854;0.874680;-0.614566
1;3;0.286933;0.462904;-0.186894
1;3;0.160934;0.493412;-0.288700
1;3;0.956901;0.290666;0.362315
1;3;0.942377;0.164931;0.452240
1;3;0.321679;0.541049;-0.226901
1;3;0.531842;0.129953;0.226226
1;3;0.879678;0.027327;0.521750
1;3;0.566138;0.838303;-0.309735
1;3;0.910102;0.427540;0.225758
1;3;0.529837;0.302195;0.089514
1;3;0.599180;0.598615;-0.100808
1;3;0.386124;0.081935;0.174006
1;3;0.759422;0.933513;-0.265258
1;3;0.893221;0.627489;0.058066
1;3;0.120384;0.074961;0.015384
1;3;0.784097;0.602070;0.010670
1;3;0.400415;0.347567;-0.026098
1;3;0.196870;0.138567;0.012590
1;3;0.430819;0.069638;0.211279
1;3;0.921280;0.476631;0.194049
1;3;0.501840;0.370009;0.018886
1;3;0.673006;0.835355;-0.241420
1;3;0.838249;0.052448;0.476407
1;3;0.576414;0.473375;-0.016361
1;3;0.257536;0.060748;0.111261
1;3;0.718340;0.757362;-0.152080
1;3;0.071290;0.556036;-0.393316
1;3;0.947511;0.851862;-0.084883
1;3;0.321210;0.640200;-0.305175
1;3;0.890619;0.190141;0.400449
1;3;0.147700;0.546181;-0.338377
1;3;0.150592;0.262072;-0.113131
1;3;0.999718;0.569927;0.169109
1;3;0.450867;0.016687;0.265307
1;3;0.001809;0.357885;-0.280371
1;3;0.656821;0.150841;0.286978
1;3;0.328797;0.326683;-0.053899
1;3;0.829792;0.780631;-0.101555
1;3;0.452654;0.560502;-0.161317
1;3;0.473510;0.067885;0.239022
1;3;0.032440;0.195564;-0.133784
1;3;0.548235;0.556999;-0.099536
