X;Y;Z
70.9433;0;0
20.1239;0;-68.0292
-59.5265;0;-38.5946
-53.8948;0;46.1336
28.9507;0;64.7673
70.3192;0;-9.38947
10.9431;0;-70.0942
-64.1109;0;-30.3767
-47.3148;0;52.8608
37.2681;0;60.3659
68.4579;0;-18.6137
1.56974;0;-70.9259
-67.5673;0;-21.6243
-39.9023;0;58.6579
44.9297;0;54.9023
65.3921;0;-27.5105
-7.83123;0;-70.5097
-69.8349;0;-12.4914
-31.7878;0;63.4231
51.8009;0;48.4728
61.1757;0;-35.9232
-17.0944;0;-68.853
-70.8738;0;-3.13872
-23.114;0;67.0723
57.7607;0;41.1905
55.8831;0;-43.7039
-26.0569;0;-65.9848
-70.6657;0;6.26916
-14.0335;0;69.5414
62.7042;0;33.1834
49.6071;0;-50.7157
-34.5608;0;-61.9556
-69.2143;0;15.5667
-4.70616;0;70.787
66.5444;0;24.5925
42.4584;0;-56.8351
-42.4567;0;-56.8364
-66.5452;0;24.5904
4.70403;0;70.7872
69.2139;0;15.5688
34.5627;0;-61.9546
-49.6056;0;-50.7172
-62.7052;0;33.1815
14.0314;0;69.5418
70.6656;0;6.2713
26.0588;0;-65.984
-55.8817;0;-43.7056
-57.7619;0;41.1887
23.112;0;67.073
70.8739;0;-3.13658
17.0965;0;-68.8524
-61.1746;0;-35.9251
-51.8024;0;48.4713
31.7859;0;63.424
69.8353;0;-12.4893
7.83336;0;-70.5095
-65.3912;0;-27.5125
-44.9314;0;54.901
39.9006;0;58.6591
67.568;0;-21.6222
-1.56761;0;-70.926
-68.4573;0;-18.6158
-37.2699;0;60.3648
47.3132;0;52.8622
64.1118;0;-30.3748
-10.941;0;-70.0945
-70.3189;0;-9.39159
-28.9526;0;64.7665
53.8934;0;46.1352
59.5277;0;-38.5928
-20.1219;0;-68.0298
-70.9433;0;-0.00213854
-20.126;0;68.0286
68.9433;0;0
19.5566;0;-66.1114
-57.8483;0;-37.5066
-52.3754;0;44.833
28.1345;0;62.9414
68.3368;0;-9.12476
10.6346;0;-68.1181
-62.3035;0;-29.5203
-45.9809;0;51.3705
36.2174;0;58.6641
66.5279;0;-18.089
1.52549;0;-68.9264
-65.6625;0;-21.0146
-38.7774;0;57.0043
43.6631;0;53.3546
63.5486;0;-26.7349
-7.61046;0;-68.5219
-67.8662;0;-12.1392
-30.8917;0;61.6351
50.3406;0;47.1063
59.4511;0;-34.9105
-16.6125;0;-66.9119
-68.8758;0;-3.05024
-22.4624;0;65.1814
56.1323;0;40.0292
54.3076;0;-42.4719
-25.3223;0;-64.1246
-68.6736;0;6.09243
-13.6379;0;67.5809
60.9364;0;32.2479
48.2086;0;-49.2859
-33.5865;0;-60.209
-67.2631;0;15.1279
-4.57349;0;68.7914
64.6684;0;23.8992
41.2615;0;-55.2328
-41.2598;0;-55.2341
-64.6692;0;23.8972
4.57141;0;68.7916
67.2626;0;15.1299
33.5883;0;-60.208
-48.2072;0;-49.2874
-60.9374;0;32.2461
13.6359;0;67.5814
68.6734;0;6.0945
25.3242;0;-64.1238
-54.3063;0;-42.4735
-56.1335;0;40.0275
22.4604;0;65.1821
68.8759;0;-3.04816
16.6145;0;-66.9114
-59.45;0;-34.9123
-50.342;0;47.1048
30.8898;0;61.636
67.8665;0;-12.1372
7.61252;0;-68.5217
-63.5478;0;-26.7369
-43.6647;0;53.3532
38.7757;0;57.0055
65.6631;0;-21.0127
-1.52341;0;-68.9265
-66.5274;0;-18.091
-36.2192;0;58.663
45.9794;0;51.3719
62.3044;0;-29.5184
-10.6325;0;-68.1185
-68.3365;0;-9.12682
-28.1364;0;62.9406
52.374;0;44.8346
57.8495;0;-37.5049
