Number;Type;X;Y;Z
1;3;0.123303;0.969852;-0.961132
1;3;0.812294;0.280360;-0.515201
1;3;0.468018;0.629272;-0.742199
1;3;0.456731;0.429392;-0.548434
1;3;0.983009;0.600916;-0.872593
1;3;0.163980;0.838194;-0.848205
1;3;0.019388;0.012904;-0.018212
1;3;0.254263;0.026820;-0.103245
1;3;0.265364;0.502586;-0.559640
1;3;0.223030;0.816404;-0.845504
1;3;0.768282;0.348825;-0.566938
1;3;0.301804;0.853025;-0.904448
1;3;0.684538;0.362622;-0.554482
1;3;0.659006;0.870464;-1.030222
1;3;0.291881;0.280599;-0.356379
1;3;0.745408;0.248719;-0.464632
1;3;0.629568;0.769041;-0.924655
1;3;0.026185;0.671700;-0.647563
1;3;0.355031;0.375037;-0.465598
1;3;0.121492;0.303613;-0.326217
1;3;0.777326;0.544292;-0.755817
1;3;0.407246;0.727242;-0.816909
1;3;0.834412;0.470448;-0.702953
1;3;0.042107;0.813193;-0.787153
1;3;0.847009;0.901775;-1.117492
1;3;0.642036;0.964980;-1.115029
1;3;0.081170;0.498988;-0.499920
1;3;0.815800;0.952768;-1.156507
1;3;0.816622;0.533162;-0.757229
1;3;0.649826;0.772743;-0.934371
1;3;0.270472;0.977658;-1.013542
1;3;0.798211;0.312705;-0.541694
1;3;0.176755;0.914891;-0.925136
1;3;0.130396;0.589634;-0.601274
1;3;0.607223;0.580897;-0.738683
1;3;0.644715;0.561598;-0.731766
1;3;0.822050;0.175253;-0.418104
1;3;0.915752;0.492377;-0.748692
1;3;0.797271;0.980929;-1.177658
1;3;0.955221;0.185863;-0.468907
1;3;0.085753;0.960268;-0.940530
1;3;0.766588;0.872563;-1.065099
1;3;0.704033;0.198005;-0.403699
1;3;0.499709;0.316298;-0.453886
1;3;0.035408;0.310356;-0.306328
1;3;0.355025;0.218667;-0.316708
1;3;0.704341;0.190743;-0.396879
1;3;0.930270;0.512770;-0.772546
1;3;0.234932;0.275098;-0.333736
1;3;0.421928;0.425271;-0.533873
1;3;0.585665;0.724562;-0.868885
1;3;0.878019;0.743043;-0.975833
1;3;0.319773;0.356717;-0.437378
1;3;0.784071;0.559105;-0.771982
1;3;0.392422;0.780735;-0.863312
1;3;0.342923;0.812776;-0.878692
1;3;0.424140;0.796721;-0.888227
1;3;0.034251;0.777953;-0.751199
1;3;0.194473;0.836253;-0.855676
1;3;0.781413;0.610814;-0.820405
1;3;0.800050;0.031609;-0.274609
1;3;0.973438;0.679828;-0.944804
1;3;0.736162;0.880331;-1.063197
1;3;0.310952;0.605057;-0.671141
1;3;0.860005;0.146815;-0.402627
1;3;0.860791;0.062979;-0.323042
1;3;0.067692;0.484826;-0.482316
1;3;0.174352;0.530349;-0.558259
1;3;0.465273;0.143490;-0.278822
1;3;0.887092;0.480133;-0.728275
1;3;0.791624;0.512438;-0.729857
1;3;0.574322;0.949240;-1.079347
1;3;0.185428;0.446682;-0.481981
1;3;0.548095;0.688357;-0.822931
1;3;0.062192;0.097481;-0.111824
1;3;0.642683;0.719098;-0.881110
1;3;0.154953;0.834449;-0.841880
1;3;0.061138;0.963474;-0.936059
1;3;0.218874;0.595518;-0.633917
1;3;0.294140;0.685127;-0.742242
1;3;0.852875;0.771450;-0.995196
1;3;0.368665;0.542074;-0.628809
1;3;0.344569;0.489472;-0.571360
1;3;0.292337;0.927334;-0.972309
1;3;0.058722;0.054504;-0.069843
1;3;0.261757;0.474755;-0.532038
1;3;0.759994;0.920263;-1.108502
1;3;0.332897;0.068831;-0.167279
1;3;0.276567;0.845939;-0.889988
1;3;0.205162;0.721547;-0.749726
1;3;0.373092;0.097307;-0.206676
1;3;0.924099;0.919407;-1.157841
1;3;0.198700;0.846607;-0.866826
1;3;0.415832;0.455198;-0.560505
1;3;0.761464;0.073714;-0.302907
1;3;0.426607;0.503866;-0.610137
1;3;0.759591;0.771044;-0.966299
1;3;0.026921;0.101344;-0.104723
1;3;0.276976;0.960643;-0.999329
1;3;0.078094;0.918820;-0.898724
1;3;0.219940;0.106365;-0.168494
1;3;0.142661;0.307256;-0.336155
1;3;0.846219;0.600016;-0.829930
1;3;0.256822;0.006547;-0.084724
1;3;0.994223;0.613590;-0.888088
1;3;0.235342;0.383774;-0.437337
1;3;0.759937;0.417608;-0.629880
1;3;0.175811;0.915869;-0.925778
1;3;0.598717;0.196626;-0.370199
1;3;0.290720;0.495573;-0.560712
1;3;0.044870;0.083929;-0.093626
1;3;0.795545;0.646757;-0.858948
1;3;0.627853;0.339382;-0.515029
1;3;0.404939;0.853444;-0.936367
1;3;0.916198;0.749844;-0.993977
1;3;0.376027;0.768038;-0.846211
1;3;0.174539;0.254073;-0.295259
1;3;0.972518;0.500225;-0.773513
1;3;0.111453;0.483640;-0.494562
1;3;0.347472;0.853858;-0.919199
1;3;0.179666;0.295597;-0.336363
1;3;0.842077;0.159013;-0.408762
1;3;0.474826;0.769996;-0.878271
1;3;0.893440;0.282301;-0.541849
1;3;0.169514;0.768022;-0.783082
1;3;0.315463;0.811877;-0.869443
1;3;0.900044;0.591760;-0.838519
1;3;0.489406;0.418455;-0.548006
1;3;0.449454;0.699144;-0.803055
1;3;0.025854;0.704957;-0.679128
1;3;0.852101;0.943997;-1.159250
1;3;0.692029;0.862920;-1.033131
1;3;0.763070;0.424059;-0.636980
1;3;0.243987;0.863468;-0.896722
1;3;0.078615;0.204062;-0.218325
1;3;0.023319;0.916630;-0.879899
1;3;0.800380;0.058606;-0.300415
1;3;0.375655;0.527638;-0.617201
1;3;0.434554;0.436429;-0.548357
1;3;0.041010;0.662301;-0.643146
1;3;0.092306;0.055078;-0.080654
1;3;0.344661;0.994842;-1.052578
1;3;0.305173;0.005350;-0.098361
1;3;0.628282;0.130048;-0.315843
1;3;0.257823;0.728679;-0.772610
1;3;0.317576;0.015314;-0.111639
1;3;0.296896;0.896490;-0.944333
1;3;0.842194;0.938579;-1.151064
1;3;0.802586;0.976233;-1.174811
1;3;0.445126;0.109131;-0.239950
1;3;0.513707;0.744655;-0.866026
1;3;0.722470;0.240424;-0.449723
1;3;0.414401;0.678339;-0.772533
1;3;0.068168;0.075349;-0.092578
1;3;0.033096;0.141849;-0.145177
1;3;0.648807;0.410036;-0.588706
1;3;0.858026;0.636686;-0.868454
1;3;0.383658;0.865269;-0.941123
1;3;0.844096;0.173667;-0.423332
1;3;0.828436;0.693734;-0.913729
1;3;0.870237;0.790109;-1.018268
1;3;0.994474;0.766858;-1.034099
1;3;0.477840;0.046955;-0.190746
1;3;0.793686;0.700160;-0.909227
1;3;0.026499;0.165859;-0.166022
1;3;0.550414;0.571254;-0.712140
1;3;0.613864;0.096135;-0.279146
1;3;0.599687;0.579333;-0.734890
1;3;0.038423;0.664736;-0.644673
1;3;0.050402;0.591437;-0.578543
1;3;0.237461;0.135725;-0.201804
1;3;0.323168;0.151142;-0.242677
1;3;0.101628;0.367916;-0.381372
1;3;0.372117;0.496906;-0.586857
1;3;0.144244;0.765294;-0.772761
1;3;0.292771;0.638303;-0.697239
1;3;0.393176;0.080389;-0.196706
1;3;0.146877;0.147820;-0.185636
1;3;0.815093;0.303875;-0.538446
1;3;0.120706;0.169660;-0.198433
1;3;0.061830;0.103782;-0.117713
1;3;0.317421;0.102734;-0.194829
1;3;0.458382;0.982111;-1.075212
1;3;0.866048;0.393869;-0.639706
1;3;0.698573;0.906489;-1.076615
1;3;0.872597;0.021506;-0.287161
1;3;0.081343;0.983573;-0.961372
1;3;0.768893;0.833033;-1.028166
1;3;0.922614;0.327215;-0.593530
1;3;0.806959;0.896113;-1.099861
1;3;0.478862;0.847270;-0.953081
1;3;0.421752;0.939111;-1.023074
1;3;0.725880;0.959087;-1.135043
1;3;0.023190;0.325304;-0.316827
1;3;0.136512;0.947541;-0.943925
1;3;0.245332;0.184890;-0.251022
1;3;0.296686;0.873775;-0.922641
1;3;0.300535;0.941135;-0.987955
1;3;0.490365;0.654173;-0.772739
1;3;0.220475;0.492803;-0.536605
1;3;0.514863;0.404033;-0.542055
1;3;0.894361;0.086843;-0.356024
1;3;0.489850;0.460710;-0.588375
1;3;0.083223;0.484025;-0.486301
1;3;0.396425;0.647964;-0.738116
1;3;0.152649;0.023560;-0.069085
1;3;0.912544;0.486466;-0.742084
1;3;0.215297;0.200256;-0.256474
1;3;0.740625;0.713557;-0.905767
1;3;0.154655;0.785273;-0.794966
1;3;0.628481;0.621179;-0.783535
1;3;0.550232;0.471351;-0.616961
1;3;0.690668;0.208908;-0.409996
1;3;0.332773;0.480882;-0.559576
1;3;0.341475;0.783213;-0.850101
1;3;0.004956;0.316513;-0.302883
1;3;0.942469;0.227015;-0.504192
1;3;0.708592;0.545097;-0.735577
1;3;0.847604;0.860358;-1.078238
1;3;0.509939;0.676367;-0.799853
1;3;0.476191;0.485044;-0.607370
1;3;0.388573;0.734015;-0.817651
1;3;0.709782;0.976995;-1.147174
1;3;0.338074;0.264091;-0.354777
1;3;0.172121;0.100880;-0.148657
1;3;0.287896;0.835408;-0.883424
1;3;0.903755;0.816029;-1.053192
1;3;0.952158;0.752285;-1.007290
1;3;0.871684;0.369749;-0.618463
1;3;0.124700;0.690751;-0.695812
1;3;0.558840;0.080077;-0.247039
1;3;0.807941;0.818727;-1.026478
1;3;0.196410;0.434774;-0.473998
1;3;0.325816;0.056710;-0.153573
1;3;0.170325;0.870237;-0.880654
1;3;0.383345;0.210891;-0.317959
1;3;0.784140;0.554659;-0.767770
1;3;0.707651;0.810454;-0.987950
1;3;0.930985;0.604729;-0.860324
1;3;0.156869;0.145306;-0.186296
1;3;0.016513;0.800949;-0.767673
1;3;0.709119;0.766283;-0.946341
1;3;0.579860;0.142589;-0.312984
1;3;0.537125;0.205199;-0.359538
1;3;0.607731;0.888087;-1.031330
1;3;0.525620;0.114807;-0.269955
1;3;0.066739;0.041657;-0.060061
1;3;0.827608;0.050066;-0.300605
1;3;0.066540;0.049026;-0.067016
1;3;0.080317;0.533539;-0.532558
1;3;0.512715;0.817315;-0.934906
1;3;0.562914;0.992703;-1.117244
1;3;0.583316;0.221410;-0.389091
1;3;0.954622;0.660489;-0.920639
1;3;0.847388;0.483254;-0.719112
1;3;0.926787;0.218063;-0.490875
1;3;0.510248;0.483999;-0.616784
1;3;0.050842;0.358572;-0.356954
1;3;0.775033;0.368182;-0.587433
1;3;0.435659;0.824455;-0.918154
1;3;0.509589;0.710678;-0.832415
1;3;0.860828;0.283440;-0.532966
1;3;0.066372;0.506899;-0.502930
1;3;0.770867;0.814679;-1.011293
