Number;Type;X;Y;Z
1;2;38.865890;0.227245;0.505695
1;2;-17.629487;0.396913;38.918562
1;2;-25.688869;-0.570266;-29.940510
1;2;41.849660;-1.591605;-16.125764
1;2;-3.281345;0.134928;41.434069
1;2;-33.116468;2.746267;-22.908678
1;2;34.196461;-4.921109;-16.625204
1;2;7.496341;-1.706864;38.546833
1;2;-40.562964;2.220098;-10.840818
1;2;26.382331;-1.461369;-33.811222
1;2;16.862803;4.362464;35.328027
1;2;-42.484433;0.101047;0.332034
1;2;15.052544;0.775368;-40.568642
1;2;27.327016;2.101298;30.517484
1;2;-38.806047;-0.917658;12.931385
1;2;5.795663;0.773446;-41.090511
1;2;31.474345;-3.377382;22.698970
1;2;-35.943758;2.270755;19.922833
1;2;-7.631269;4.852205;-37.421941
1;2;38.915972;-5.000612;14.092327
1;2;-27.315510;-1.244287;33.427234
1;2;-17.851593;2.309430;-35.770979
1;2;39.083629;-0.085787;6.401506
1;2;-17.573911;0.588171;38.136642
1;2;-26.992401;0.687952;-30.305226
1;2;36.267746;4.119114;-9.999179
1;2;-4.263403;-4.695201;40.727693
1;2;-33.432978;-2.047219;-19.961535
1;2;34.763607;-2.827035;-22.717881
1;2;2.122814;3.131493;39.259089
1;2;-35.555891;0.773392;-15.068124
1;2;27.017243;1.086787;-33.732561
1;2;11.172758;1.893159;35.912719
1;2;-43.335840;-0.007337;-1.387088
1;2;14.574353;-3.614230;-33.056877
1;2;25.929868;-0.970537;31.517448
1;2;-39.728952;-0.883119;10.869651
1;2;7.398591;0.296960;-38.272817
1;2;35.262895;-1.558703;20.603017
1;2;-33.120880;5.818817;22.912898
1;2;-6.778600;1.726469;-37.396022
1;2;42.510694;3.642365;12.302794
1;2;-26.774142;2.901491;27.151065
1;2;-12.891850;2.738454;-37.300757
1;2;41.826866;-2.801561;1.080695
1;2;-19.338686;3.672098;34.971267
1;2;-26.169146;5.330483;-33.463795
1;2;38.358722;-0.828295;-14.138777
1;2;-6.192105;-1.957407;41.706952
1;2;-30.840793;-1.521249;-25.036113
1;2;36.884660;2.204214;-20.028974
1;2;0.047800;1.280240;41.281729
1;2;-36.879393;3.546572;-9.520102
1;2;23.699929;2.821567;-31.609090
1;2;15.758118;0.388873;37.095404
1;2;-44.854883;-1.484075;0.112576
1;2;14.590014;0.315294;-35.818386
1;2;26.277842;3.688449;34.546217
1;2;-39.449933;3.471041;5.957314
1;2;6.909694;-3.949549;-38.875584
1;2;35.915942;2.466038;24.502440
1;2;-37.364780;-3.023250;18.016593
1;2;-3.878299;0.808583;-40.161024
1;2;37.980835;0.618365;12.415641
1;2;-26.633345;1.664809;31.908240
1;2;-13.651515;0.359212;-37.610480
1;2;39.374106;-1.870689;1.092137
1;2;-21.634139;-2.324554;39.110622
1;2;-23.362932;-3.691429;-34.053344
1;2;41.337299;1.754125;-9.089784
1;2;-5.885283;1.866432;45.916665
1;2;-33.050849;-0.062506;-21.090309
1;2;35.561392;0.313197;-22.689970
1;2;0.198666;0.368236;37.027855
1;2;-36.804995;0.140597;-14.395116
1;2;32.988727;2.992358;-32.009983
1;2;13.633697;-1.543480;37.498430
1;2;-37.758614;0.069626;-3.009196
1;2;14.358033;-1.895591;-38.313006
1;2;23.542865;4.695862;28.895623
1;2;-38.035627;3.994029;11.284508
1;2;7.909336;-1.840237;-39.274295
1;2;30.714739;-2.071394;22.392918
1;2;-39.299204;-4.003922;18.054840
